Artist,Album,Song,Year
Edi Niederlander,Reflections From Pre-Liberation South Africa,Ancient Dust of Africa,2004
"Ekhouvanjou, okay!","Ek is Beter As Hy, Trust My",365 Dae Van Kersfees,2011
ef-el,Veiligheid Eerste,Elegie,2007
Elle E,Etiquette,Suburbs,2018
Evoid,Evoid,Shadows,1983
Evolver,Get Up,Stronger,2006
Facing the Gallows,Dead Mindset,Doom II,2018
Falling Mirror,Johnny Calls the Chemist,Johnny Calls the Chemist,1985
Famous Curtain Trick,Famous Curtain Trick,,1996
Farryl Purkiss,Farryl Purkiss,Better Days,2006
Felix Laband,Dark Days Exit,Whistling in Tongues,2004
Felix Laband,Deaf Safari,The Savage Bush Hotel,2015
Fetish,Fetish,Never Enough,1996
Fetish,Shade of a Ghost,Shade of a Ghost,1999
Finkelstiens,The Finkelstiens vs Rock 'n Roll,Let's Forget,2006
Fire Through the Window,Hey!,Do Do Do,2009
Flat Stanley,Between 2 Worlds,Daytrippers,2007
Fokofpolisiekar,As Jy Met Vuur Speel Sal Jy Brand,Hemel op die Platteland,2003
Fokofpolisiekar,Swanesang,Brand S.A,2006
Fokofpolisiekar,Lugsteuring,Tevrede?,2004
Foto na Dans,Die Vloed,Konings,2010
Foto na Dans,Intervensie,Vergeet van My,2007
Fractals,?,?,?
Francois van Coke,Francois van Coke,Toe Vind ek Jou,2015
Frank Casino,Something From Me,Ride  ,2018
Frankie Fire,Take It In,,
Freshlyground,Nomvula,I'd Like,2004
Frown,Teenage Swim,The National,2013
Fulka,Mystery of the Seven Stars,Dancing in our Darkest Days,2010
Fuzigish,Skankers Union,Little Bird,2000
Gangs of Ballet,Yes/No/Grey.,Hello Sweet World,2012
Gary Thomas,,,
Gazelle,Chic Afrique,Die Verlore Seun,2011
Georgetown,The Dog Show,Moon Baby,2018
Gerald Clark,Sweepslag,Rietfontein se Leidam,2011
Gert Vlok Nel,Beaufort Wes se Beautiful Woorde,Timotei Sjampoe,2006
Gert Vlok Nel,Onherroeplik,Tuesday,2012
Gian Groen,Lied van die Engele,Vier Seisoene Kind,2005
Glaskas,Engele Wat Skree,Meneer,2008
Goldfish,Perceptions of Pacha,Hold Tight,2008
Goldfish,Three Second Memory,Moonwalk Away,2013
Goodluck,Astoria,,2020
Goodluck,The Nature Within,I've Been Thinking About You,2016
Goodluck,Goodluck,,2011
"Graeme Watkins Project, The",Corridors of the Minds,Love Affair,2011
Grannysmith,Grannysmith,Getting Stronger,2000
Grassy Spark,Portal,Living In Paradise,2016
Groinchurn,You Are Now Here,Sixtimesnine,1997
Guy Buttery,Self Titled,From Srinager,2016
Guy Buttery,Songs From the Cane Fields,December Poems,2005
Haezer,Gold Plated Frequencies,Minted,2013
Haggis & Bong,Fire in the Bowl,Let the Hunt Begin,2008
Harris Tweed,The Younger,Ode to Confusion,2006
The Helicopters,In The Flesh,Whisper Your Secret,1987
Hellphones,This is How,Shake it,2006
Hemelbesem,Hemelbesem,Doef Doef Musiek,2019
Hemelbesem,Y.M.C.M. Besem,Hoe Salla,2013
Henry Ate,Slap in the Face,Just,1996
Henry Ate,Torn & Tattered,,2000
HHP,Acceptance Speech,Music and Lights,2007
Holiday Murray,Holiday Murray,Jirey,2011
Hog Hoggidy Hog,Oink,African Son,2005
Hotline & PJ Powers,Jabulani,Jabulani,1984
Hugh Masekela,The Promise of a Future,Grazing in the Grass,1968
ISO ,Piece By Piece,No Fire,2012
Isochronous,Inscape,Destiny,2012
Isochronous,Isochronous,Beauty Queen,2012
J,Closure,Down Again,2006
Jack Hammer,The Pilgrim,Mozambique,2005
Jack Hammer,Death of a Gypsy,Sarajevo,1996
Jack Hammer,Ghosts on the Wind,The Fisherman,1994
Jack Mantis Band,Circumstance of Events,Not What I'd Imagined,2017
Jack Parow,Jack Parow ,Cooler as Ekke,2009
Jack Parow,Dis Hoe Ons Rol,Tema Van Jou Lied,2016
Jack Parow,Eksie Ou,Afrikaans is Dood,2011
James Phillips,Made in South Africa,Where Will You Be,1994
James Phillips,Soul Ou,Light me a Light,1995
Jan Blohm,Groentrui,Groentrui,2006
Jan Blohm,Melkstraat Confessions,Breyten se Brief,2004
Jan Blohm,n Stille Runaway,Dromer,2005
Janie Bay,Miscellany,Wag Vir Jou,2017
Japan & I,Will Take Over the World,Chinese Warrior,2008
Jax Panik,Cigarettes & Cinnamon,Cigarettes & Cinnamon,2008
Jeremy Loops,Trading Change,Down South,2014
Jeremy Loops,Critical as Water,Vultures,2018
Jesse Clegg,When I Wake Up,Today,2008
Jim Neversink,Jim Neversink,Ride Ride Ride,2005
Jim Neversink,Shakey Is Good,Klackety Kate,2009
"Jimmy 12""",5 Star,So Many Times,2003
Jo Day,No Warning,Above My Room,2003
Johannes Kerkorrel,Eet Kreef,Hillbrow,1989
Johannes Kerkorrel,Bloudruk,Halala Afrika,1992
Johannes Kerkorrel,ge-trans-for-meer,Al Le Die Berge Nog So Blou,1996
John Ireland,I'd Like,I'd Like,1982
Johnny Clegg/Savuka,"Cruel, Crazy Beautiful World",Dela,1989
Johnny Clegg/Savuka,Third World Child,Asimbonanga,1987
Josh Kempen,Morning Show,The River,2017
Josie Field,Mercury,Every Now & Then,2007
Josie Field & Laurie Levine,Tigerlilly,Sweet Nothing,2015
Juluka,Scatterlings,Scatterlings of Africa,1982
Juluka,African Litany,Impi,1981
Just Jinger,All Comes Round,Shallow Waters,1997
